The Sounds of Silence,54.0,184880.0,0.165,0.436,0.375,0.0,6.0,0.294,-13.856,1,0.0284,4,0.49
River Deep - Mountain High,51.0,214880.0,0.792,0.36,0.757,0.0125,3.0,0.147,-6.832,1,0.0405,4,0.341
Boulder To Birmingham - Remastered,48.0,213026.0,0.78,0.476,0.318,0.0,10.0,0.104,-10.953,1,0.0304,4,0.311
Lover's Moon,58.0,251400.0,0.771,0.62,0.186,0.0115,7.0,0.0738,-19.696,1,0.0276,4,0.44
I Don't Want to Miss a Thing,78.0,298760.0,0.165,0.383,0.662,0.0,2.0,0.248,-5.162,1,0.0333,4,0.138
Linger,60.0,201136.0,0.789,0.572,0.285,0.0,5.0,0.0944,-12.367,1,0.0316,4,0.168
Georgia,74.0,230506.0,0.312,0.388,0.66,3.0E-4,11.0,0.0943,-7.372,1,0.0308,4,0.401
Paper Thin - Live From Studio,30.0,196072.0,0.896,0.455,0.113,0.0,1.0,0.0978,-12.887,1,0.0466,4,0.373
All My Life,46.0,174000.0,0.0404,0.428,0.904,0.0,5.0,0.0754,-4.189,1,0.261,4,NaN
"Come On, Let's Go",60.0,124586.0,0.788,0.616,0.724,0.0,9.0,0.128,-8.101,1,0.042,3,0.809
I've Got A Woman,69.0,171466.0,0.833,0.556,0.61,0.0,9.0,0.258,-4.729,1,0.213,4,0.665
Lonely Teardrops,55.0,164346.0,0.596,0.591,0.582,0.0,7.0,0.784,-4.554,1,0.129,4,0.906
Such Great Heights,44.0,266346.0,0.0091,0.653,0.818,0.23,5.0,0.0703,-8.125,1,0.047,4,0.198
Here's Where The Story Ends,52.0,234906.0,0.288,0.625,0.593,0.0,7.0,0.0721,-10.926,1,0.028,4,0.835
Only Lonely,26.0,217556.0,0.898,0.412,0.276,4.0E-4,7.0,0.0955,-11.711,1,0.0296,4,0.214
Natural,95.0,189466.0,0.216,0.448,0.612,0.0,2.0,0.08,-6.106,1,0.0708,4,0.213
SAD!,96.0,166605.0,0.258,0.74,0.613,0.0037,8.0,0.123,-4.88,1,0.145,4,0.473
Hard To Handle,62.0,141000.0,0.573,0.666,0.55,0.0,10.0,0.122,-8.672,1,0.0612,4,0.961
Brooklyn Boogaloo,0.0,389312.0,0.57,0.809,0.673,1.0E-4,0.0,0.137,-5.121,0,0.0364,4,0.928
Te He Prometido (En Vivo),63.0,190280.0,0.221,0.674,0.891,0.0,7.0,0.927,-4.786,1,0.0477,4,0.648
I Love It,66.0,163000.0,0.0021,0.604,0.748,0.0,8.0,0.083,-5.343,1,0.0849,4,0.52
Without Me,92.0,201660.0,0.297,0.752,0.488,0.0,6.0,0.0936,-7.05,1,0.0705,4,0.533
I'm Missing You,27.0,236786.0,0.0887,0.78,0.641,2.0E-4,7.0,0.329,-6.695,1,0.196,4,0.319
98,46.0,251560.0,0.175,0.923,0.498,0.0,6.0,0.0545,-8.363,0,0.364,4,NaN
Song For Vince,43.0,218100.0,0.578,0.485,0.498,0.415,7.0,0.126,-5.095,1,0.0426,4,0.157
Take Me Back To Tulsa,29.0,154920.0,0.477,0.731,0.555,0.0,2.0,0.326,-8.365,1,0.175,4,0.961
I Forgot More Than You'll Ever Know - Remastered,36.0,181506.0,0.887,0.661,0.288,0.0,1.0,0.132,-6.635,1,0.0255,3,0.417
Big Bad John,55.0,182560.0,0.596,0.516,0.457,0.0,8.0,0.106,-12.609,1,0.184,4,0.455
Should've Been A Cowboy,65.0,211306.0,0.471,0.619,0.672,0.0,7.0,0.211,-7.786,1,0.0356,4,NaN
Leave Me Now,52.0,195733.0,0.0333,0.604,0.693,0.923,1.0,0.2,-6.493,1,0.0569,4,0.181
Recite Remorse,49.0,278066.0,0.505,0.228,0.381,0.0044,9.0,0.106,-6.774,1,0.0307,4,0.173
The King of All Birds,4.0,236400.0,0.333,0.468,0.621,0.0047,9.0,0.115,-7.373,1,0.0339,4,0.262
Penarth Pier,51.0,227000.0,0.986,0.201,0.078,0.909,9.0,0.0886,-26.306,1,0.0442,5,0.0374
See Through Me,18.0,198857.0,0.375,0.647,0.776,0.821,0.0,0.111,-7.156,1,0.0466,4,0.0368
Lost Boys,49.0,222000.0,0.0071,0.533,0.958,0.0614,8.0,0.11,-3.909,1,0.0569,4,0.295
Let Me Down Slowly,83.0,169180.0,0.733,0.649,0.548,0.0,1.0,0.136,-5.692,0,0.0318,4,0.506
Made For Now,74.0,210685.0,0.0031,0.76,0.888,0.0,6.0,0.149,-3.449,1,0.124,4,0.559
Firework,74.0,227880.0,0.139,0.638,0.826,0.0,8.0,0.0803,-4.968,1,0.0479,4,0.649
Nervous,52.0,173152.0,0.0175,0.573,0.715,0.0296,4.0,0.135,-7.016,0,0.0497,4,0.0881
The Rubberband Man,66.0,215109.0,0.466,0.81,0.536,7.0E-4,10.0,0.0401,-11.573,1,0.0583,4,0.957
Fallait Pas,58.0,208290.0,0.532,0.892,0.779,0.0,9.0,0.0688,-6.607,1,0.0945,4,0.927
Trippin',25.0,193041.0,0.0019,0.419,0.735,0.0,10.0,0.189,-7.998,1,0.404,4,0.552
Prince Charming,0.0,151062.0,0.454,0.651,0.573,0.0,1.0,0.155,-9.468,1,0.315,4,0.605
Fuck It Up!,35.0,157377.0,0.025,0.93,0.433,0.0,0.0,0.0496,-17.418,1,0.369,4,0.923
Beautiful Girls,77.0,225373.0,0.15,0.762,0.661,0.0,1.0,0.256,-6.075,0,0.0687,4,0.769
That's Not Me - Instrumental,19.0,208920.0,0.66,0.883,0.95,2.0E-4,0.0,0.0801,-5.682,1,0.0658,4,0.753
Summer Of '69,19.0,212933.0,0.0155,0.497,0.852,0.0,2.0,0.0793,-5.517,1,0.0405,4,0.713
Baby Love,68.0,158040.0,0.782,0.582,0.636,0.0,0.0,0.534,-9.266,1,0.0381,4,0.715
2002,87.0,186986.0,0.0372,0.697,0.683,0.0,1.0,0.137,-2.881,0,0.117,4,0.603
No Drama (feat. Craig David),74.0,153309.0,0.168,0.73,0.934,0.0,4.0,0.142,-3.995,1,0.078,4,0.758
Heartline,24.0,192880.0,0.326,0.758,0.779,0.0,8.0,0.178,-3.531,0,0.0433,4,0.78
Painkiller,62.0,202626.0,0.003,0.583,0.926,0.001,0.0,0.121,-3.296,1,0.0318,4,0.2
NOAH,54.0,224570.0,0.26,0.757,0.947,0.0,9.0,0.096,-3.888,0,0.205,4,0.684
Temple,48.0,98352.0,0.836,0.645,0.739,0.925,5.0,0.384,-6.707,0,0.0429,3,0.127
mellow 2.0,4.0,92567.0,0.0413,0.711,0.386,0.906,8.0,0.175,-7.718,0,0.0775,4,0.672
When You Love Someone,79.0,216373.0,0.248,0.675,0.444,0.0,7.0,0.0531,-6.067,1,0.028,4,0.356
downforwhatever,44.0,190060.0,0.144,0.936,0.21,1.0E-4,6.0,0.0912,-8.355,0,0.393,4,0.285
Merci,51.0,100242.0,0.248,0.796,0.105,0.817,11.0,0.108,-13.837,0,0.0761,4,0.922
La Rosa De Los Vientos,55.0,309453.0,0.236,0.657,0.578,0.0075,3.0,0.212,-6.682,0,0.13,4,0.819
Wo!!,47.0,195056.0,0.467,0.862,0.543,0.0014,4.0,0.0931,-10.377,0,0.0795,4,0.961
Focus,63.0,202152.0,0.125,0.856,0.598,0.0,6.0,0.0626,-6.173,1,0.0675,4,0.352
Got the Feeling,70.0,178911.0,0.0776,0.677,0.819,1.0E-4,0.0,0.0756,-3.654,0,0.0304,4,0.529
Purple Dinosaur,42.0,237320.0,0.106,0.599,0.577,0.0,2.0,0.205,-6.813,1,0.221,5,0.784
Rooftops,67.0,177464.0,0.0292,0.704,0.907,0.0,10.0,0.195,-3.95,0,0.0672,4,0.657
Gripped UP,40.0,177025.0,0.0048,0.831,0.782,0.0,1.0,0.332,-3.108,1,0.235,4,0.361
Awake,3.0,304367.0,0.0,0.396,0.753,0.0051,7.0,0.32,-4.153,1,0.057,4,0.508
"Steady, As She Goes",64.0,215266.0,0.0087,0.534,0.605,0.0083,9.0,0.0781,-4.366,1,0.113,4,0.56
Automatic,7.0,230720.0,0.0129,0.791,0.679,0.0921,6.0,0.364,-6.879,1,0.0511,4,0.73
THUG LIFE,74.0,122986.0,0.274,0.576,0.74,0.0,0.0,0.0948,-6.195,1,0.0854,4,0.37
Paradise,66.0,215336.0,0.139,0.623,0.681,0.0,7.0,0.0946,-3.49,1,0.0268,4,0.453
When Your Heart Stops Beating,53.0,192786.0,2.0E-4,0.42,0.968,0.0,9.0,0.0796,-2.353,0,0.123,4,0.392
All For You,52.0,219640.0,0.14,0.643,0.718,1.0E-4,1.0,0.106,-4.366,0,0.039,4,0.691
Did It Again,58.0,200730.0,0.235,0.536,0.672,0.0,5.0,0.0872,-5.367,0,0.118,5,0.641
Partilhar,65.0,337308.0,0.826,0.477,0.279,0.0695,4.0,0.153,-10.959,1,0.0989,4,0.332
Chelsea Dagger,63.0,215173.0,0.0468,0.519,0.825,0.0,7.0,0.0604,-3.087,1,0.145,4,0.581
Be Legendary,58.0,203273.0,0.0,0.547,0.944,0.0451,4.0,0.195,-3.304,0,0.0507,4,0.364
Aunque Tú,40.0,200746.0,0.884,0.678,0.0915,0.0,7.0,0.123,-17.363,0,0.0479,4,0.353
Levitate,63.0,230738.0,0.142,0.606,0.781,0.008,1.0,0.0734,-5.846,1,0.0703,4,0.632
Grateful (feat. Poo Bear),50.0,246081.0,0.0329,0.916,0.546,0.0,6.0,0.117,-5.118,1,0.0495,4,0.916
Holiday,65.0,231560.0,0.0251,0.813,0.699,0.0135,7.0,0.0527,-8.656,1,0.0458,4,0.732
See Me Trying,53.0,128004.0,0.367,0.618,0.658,0.0,10.0,0.101,-6.871,0,0.0404,4,0.214
I Awoke,17.0,277120.0,0.931,0.545,0.144,0.302,1.0,0.121,-20.47,1,0.0345,4,0.322
Milkshake,69.0,182626.0,0.0099,0.881,0.774,0.0346,1.0,0.206,-6.068,1,0.0439,4,0.759
F E M A L E,1.0,112269.0,0.307,0.703,0.827,0.0026,1.0,0.12,-4.39,1,0.0535,4,0.624
Maze Rearrange,27.0,127520.0,0.359,0.336,0.673,0.356,7.0,0.131,-11.748,0,0.0741,3,0.265
Waiting on the Summer,60.0,254571.0,0.0449,0.553,0.811,0.0,4.0,0.101,-5.832,1,0.111,4,0.629
Fall in Deep,8.0,217182.0,0.108,0.685,0.646,0.236,0.0,0.17,-6.717,1,0.0711,4,0.539
Beautiful,73.0,238560.0,0.578,0.457,0.573,0.0,5.0,0.114,-3.866,0,0.0275,4,0.0992
Wherever You Will Go,67.0,209360.0,0.0392,0.551,0.696,0.0,2.0,0.127,-6.192,1,0.0265,4,0.354
I Had Too Much To Dream (Last Night),49.0,178266.0,0.354,0.341,0.714,0.0,2.0,0.31,-7.998,0,0.0404,4,0.412
I Walk the Line,71.0,176533.0,0.877,0.713,0.258,0.0061,9.0,0.0967,-14.59,1,0.0384,4,0.56
House Of Pain,54.0,346626.0,0.0766,0.519,0.61,1.0E-4,0.0,0.248,-10.256,1,0.036,4,0.232
Dancing With Myself,66.0,359733.0,0.0157,0.51,0.696,1.0E-4,4.0,0.297,-10.83,1,0.0802,4,0.905
(I've Had) The Time of My Life,21.0,289680.0,0.0476,0.697,0.665,0.0067,6.0,0.0796,-12.907,0,0.0412,4,0.485
Glow,41.0,230694.0,0.0612,0.576,0.795,0.0,0.0,0.14,-4.87,1,0.0346,4,0.427
Coming Back to You,51.0,186040.0,0.423,0.683,0.787,0.0,9.0,0.0864,-4.099,1,0.0291,4,0.502
September Song - Guitar Acoustic,21.0,212152.0,0.359,0.41,0.428,0.0,0.0,0.138,-7.927,0,0.0329,4,0.526
Hate Me,54.0,182190.0,0.0056,0.573,0.983,0.0,1.0,0.261,-4.006,1,0.196,4,0.447
Snow (Hey Oh),73.0,334666.0,0.116,0.427,0.9,0.0,11.0,0.119,-3.674,1,0.0499,4,0.599
You Send Me,11.0,173026.0,0.915,0.574,0.25,0.0,4.0,0.146,-10.307,0,0.0276,4,0.443
The Chain - 2004 Remastered Edition,79.0,270213.0,0.009,0.545,0.67,8.0E-4,9.0,0.0451,-8.81,1,0.0496,4,0.481
True Colors,72.0,206013.0,0.284,0.624,0.424,0.0,1.0,0.173,-8.237,1,0.24,4,0.584
Family (feat. Dave East),54.0,195855.0,0.047,0.702,0.591,0.0,2.0,0.0904,-6.886,1,0.26,4,0.287
Beechwood,30.0,227532.0,0.051,0.862,0.521,0.0,2.0,0.112,-8.299,0,0.45,3,0.398
OG Luv Kush pt.2,59.0,159010.0,0.0979,0.774,0.372,0.0389,6.0,0.109,-12.444,1,0.302,4,0.258
Feeling Good,74.0,174000.0,0.854,0.318,0.334,0.0,7.0,0.188,-9.267,0,0.0487,4,0.541
Alright,53.0,194490.0,0.0818,0.78,0.784,0.0,7.0,0.623,-5.619,1,0.2,4,0.666
Piensa en Mí,10.0,164000.0,0.339,0.617,0.297,0.0,7.0,0.319,-10.867,1,0.0317,4,0.673
Hot Boy,48.0,194561.0,0.042,0.859,0.5,0.0,9.0,0.0616,-7.628,1,0.347,4,0.186
Oxy Music,0.0,227810.0,0.181,0.832,0.744,0.0026,11.0,0.0612,-5.721,1,0.239,4,0.737
Russian Spies,50.0,198930.0,0.134,0.759,0.359,0.0,2.0,0.0996,-10.033,0,0.0527,4,0.246
No Hay Mal Que Dure,63.0,292120.0,0.27,0.46,0.747,0.875,0.0,0.126,-7.544,1,0.0289,4,0.535
May the Bird of Paradise Fly up Your Nose,34.0,151693.0,0.738,0.66,0.801,0.0,4.0,0.627,-8.446,1,0.115,4,0.867
Y'all Come Back Saloon,40.0,174226.0,0.122,0.686,0.432,0.0,2.0,0.0872,-14.904,1,0.0724,4,0.722
Everything We Do Is Wrong,45.0,247588.0,0.97,0.343,0.294,0.532,9.0,0.0745,-11.564,0,0.0367,4,0.0737
Lhhc,48.0,189985.0,0.0073,0.629,0.993,0.0,7.0,0.148,-1.277,NA,0.214,4,0.329
DNA,77.0,223122.0,0.022,0.598,0.775,0.0,1.0,0.0677,-4.035,0,0.0545,4,0.687
Close Call,43.0,207000.0,0.102,0.691,0.838,0.743,6.0,0.197,-6.665,0,0.0421,4,0.568
The Boss,58.0,190733.0,0.602,0.746,0.484,0.0082,1.0,0.0576,-9.614,1,0.0434,4,0.606
Keda Bardou,27.0,203550.0,0.0308,0.776,0.596,0.0,6.0,0.0771,-7.607,0,0.0842,4,0.71
SLISS,47.0,134592.0,0.0496,0.914,0.578,0.0,8.0,0.0881,-7.883,0,0.238,4,0.847
Cuando Salimos,46.0,200583.0,0.279,0.858,0.655,2.0E-4,1.0,0.106,-5.898,1,0.189,4,0.492
Gully,21.0,168071.0,0.0262,0.83,0.444,0.8,8.0,0.0924,-12.504,0,0.0618,4,0.525
Like Yours,46.0,220813.0,0.0505,0.352,0.965,0.0,5.0,0.0553,-2.486,1,0.333,4,0.437
